,title,author,fullText,url,tag,publisher,keywords,summary,date,預期走向,理由
0,桃園建捷運減免千萬房屋稅 綠線占最多,陳夢茹,"桃園市內有多項重大工程，光捷運就有綠線捷運、棕線捷運及三鶯線，捷運工程動輒幾年，沿線店家因受到施工圍籬阻擋生意直直落，為此市府也祭出房屋稅減免，盼店家能撐過交通黑暗期。經統計，全市捷運建置減徵件數來到5110件，金額高達1000多萬元，其中綠線捷運占最多。
截至2月中旬，地稅局統計，全市因捷運建置房屋稅減免件數共有5110件，金額高達1000多萬元，其中以綠線捷運占最多，目前總計有3948件。若沿線店家受捷運建置影響長達3個月以上，捷工局會主動協助造冊，並提交至地稅局替民眾申請減免。
綠線捷運如火如荼建置中，截至2月底GC01標進度為60.18％、GC02標進度為28.40％、GC03標為28.62％等，前市府原稱2027年可完工，豈料新市府上任後調查發現要2030年才能全線完工，還要再拖3年，讓沿線店家苦不堪言。
市議員呂林小鳳表示，捷運施工需耗費好幾年的時間，許多小本生意像美甲、美睫及書店等，原先考量租金成本選擇在2樓營業，豈料介壽路上多處成為施工工區，進而讓生意大受影響。台北市在施工期間若因道路封閉全部阻斷，1樓房屋稅打7折，2樓以上打8折，而桃園2樓以上僅打9折，盼市府能比照台北市，針對2樓以上房屋再調降房屋稅。
地方稅務局長姚世昌回應，目前桃園市如店家前道路全被遮蔽者，房屋稅打7折，部分遮蔽者，1樓店面打8折，2樓以上、巷弄及地下層打9折。由於房屋稅率修訂為3年1次，明年輪到桃園修訂，預計6月會成立籌備小組，會將此建議納入討論，邀集專家及議員共同討論，並評財政是否能夠負擔。
",https://house.chinatimes.com/20230411001318-264401,"桃園市,綠線,捷運,減免,房屋稅,2樓,店家",中國時報,"['桃園捷運', '租稅減免', '施工影響', '商家經營', '市府回應']",桃園捷運綠線工期被推遲至2030，施工影響沿線店家經營，市府提供稅減免以緩衝，預示地產價值可能受挫。,2023-04-11,下跌,工期延長與施工導致沿線商家經營受挫，市場需求下降，儘管稅金減免可部分緩和壓力，但短期內仍會降低相關地產價格。
1,陸房市1大難題？外媒曝待售住宅嚴重過剩：三分之一賣不出去,邱怡萱,"解封加上經濟復甦，中國媒體看好中國房市有望回春，但根據華爾街日報報導，中國待售住宅嚴重供應過剩，多達三分之一賣不出去，恐阻礙房地產的復甦。
報導引述數據提供商萬得（Wind）數據，中國2022年所有新建住宅約有三分之一未售出，是2015年以來最高比例，今年2月中國住宅竣工未售面積為相當於約400萬套住宅，創下2017年以來最嚴重的供應過剩。房地產諮詢機構克而瑞計算結果亦顯示，中國2022年所有新建住宅中約有三分之一未售出，是2015年以來的最高比例。
克而瑞更估計，上海需要七個月消化庫存的待售住宅，北京需要近兩年，知名三線城市北海更需要長達六年時間。
報導指出，北海市擁有190萬人口，被稱為「中國的邁阿密」，當地一家房產中介公司銷售人員透露，北海的房屋均價從2019年的每平方米8000~9000元左右(人民幣，以下同)，下降到2022年底的每平方米4000~5000元左右。
報導提到，在疫情爆發前，中國三線城市住宅吸引了一些購房者搶購，但北京政府打擊投機行動，加上小城市不利的人口結構和其他問題，使這些城市的吸引力下降。
報導示警，中國高達三分之二的城鎮人口居住在三、四線城市，如果中國不能穩定這些城市的住宅價格，可能會打擊許多地區居民的信心和消費意願，進而影響整體經濟復甦的程度。
中國國家稅務總局局長王軍則信心表示，住房消費呈現回暖跡象，房地產業1至2月銷售收入年增2.3%，3月增速將進一步提升，預估年增17.9%。並強調中國政府為了拚經濟、達到全年5%成長的預設目標，未來將多管齊下，並陸續提出各種支持政策來振興房市。
",https://house.chinatimes.com/20230410004223-264401,"中國,房市,房價,房地產",中國時報,"['供應過剩', '未售住宅', '房價下降', '政府刺激', '供需失衡']",中國新建住宅三分之一未售，供應過剩嚴重，房價下跌趨勢顯著，政府出臺刺激政策但短期或難以逆轉。,2023-04-10,下跌,根據數據約三分之一的新建住宅未售，供應過剩幅度創三年新高，主要城市如上海、北京庫存消化週期長，價格顯著下跌，且人口結構問題加劇需求疲軟，故預期房價為下跌。
2,買賣雙方平行時空 家戶購屋比創7年新低,葉思含,"今年第1季六都買賣移轉棟數是5年來最低，房仲業依據六都買賣移轉棟數及家戶數統計家戶購屋比發現，台北、台中、台南創6年同期新低，而新北、桃園、高雄則是創下7年新低，顯示今年第1季六都買氣疲弱。
大家房屋企劃研究室總監郎美囡表示，政府自2020年以來推出一系列健全房地產市場方案，從選擇性信用管制、升息到平均地權條例修正案，接連出拳打擊炒作，無論投資或自用買方皆縮手，新北、桃園、高雄三都今年首季買氣僅高於2016年、房地合一上路當年。
綜觀六都歷年第1季家戶購屋比，新北市、桃園市、台中市都跌落1%大關，去年同期這3都平均每1百戶至少有1戶買房，今年交易量全數下修，桃園市家戶購屋比與去年同期比減少0.38個百分點，是六都中降幅最大者，台中市跟去年同期減少0.29個百分點，桃園、台中兩大房市買氣熱區在今年明顯下滑。
郎美囡分析，近8年房地產市場在2016年因房地合一上路陷入谷底，隔年立即反彈，到2020年及2021年的疫情資金潮，創造市場高交易量，甚至到去年(2022)第一季買氣還維持在一定水平，但去年3月央行開始升息，以及政府推動平均地權條例修正案，讓新案市場蓬勃的桃園、台中買氣銳減，台南、高雄則是在半導體產業光環退卻後大受影響，雙北也備受衝擊，尤其台北市房價高，升息及銀行縮銀根，貸款條件不佳，入手門檻更高，市場買氣低迷。
住商不動產企劃研究室執行總監徐佳馨指出，今年第1季交易創5年同期最低紀錄，關鍵在於買賣雙方對價格認知差距太大，不動產平均地權條例修正案通過影響最深是預售屋，但買方卻期待成屋、中古屋大幅降價，賣方不願讓步，買方等不到價修繼續觀望，導致今年首季買氣低迷。
全球居不動產情報室總監陳炳辰分析，台灣民眾購屋心態傾向追逐熱潮，盤整時期大多呈現觀望，建商現階段雖然沒有明確的降價，但不論在贈品換折扣、公司貸低首付，甚至不二價鬆動都有變相降價的態勢，中古屋也不乏有屋主自行降價的狀況，民眾實可在明年利空出盡前趁勢進場，畢竟島內房產易漲難跌，買房風氣長期看好，眼下難得的買方市場建議好好利用之。
",https://house.chinatimes.com/20230410003634-264401,"家戶購屋比,買賣移轉棟數,桃園,買氣,買方",中國時報,"['三年新低', '購屋比下降', '升息', '平均地權條例', '預售屋']",2024 1Q六都買賣棟數創5年最低，家戶購屋比大幅下滑，多數市區買氣疲弱，市場預期房價持續下跌。,2023-04-10,下跌,成交量下降、購房比率下滑、升息及新修法壓縮投資需求，導致市場供過於求並促使房價下跌。
3,房仲PO文「超級急急急售」 超狂屋況照片曝光網全看呆：真的很急,林毅,"網路普及化，社群平台也出現許多租屋社團，房仲們也隨波逐流，到裡面PO文爭取業績。一名房仲在臉書社團賣透天厝，還寫上「超級急急急售」，照片曝光後網友全笑翻，直說「看得出來真的很急」。
台中一名房仲在臉書社團「自售、出租、買賣房屋土地交流社團」賣房，物件位於太平區，屋齡40年的透天厝，20.8坪土地、33.8建坪售價1138萬，寫著「超級急急急售」，並隨手附上5張照片。
未料照片疑似因嚴重手震，導致畫面異常模糊，完全沒有對到焦，沒有一張是清晰的，也似乎因為如此，導致PO文遭人檢舉，房仲還在底下無奈留言「不知道誰檢舉的，很急錯了嗎，有興趣的私我看資料！快一點！真的很急」。
照片流至其他平台後，不少網友都笑翻，直說：「看得出來真的很急」、「是有這麼急嗎」、「感覺好像1小時內要賣掉一樣」、「從照片可以看出房中心急如焚」、「大哥你先對個焦吧」、「這種照片鬼才會買吧」；但也有人認為是房仲的推銷手段：「至少知名度已經打出來了」、「推銷得很成功啊其實」、「現在大家都看到了，房仲頗厲害」。
",https://house.chinatimes.com/20230410002731-264401,"房仲,超級急急急售,急售,透天厝,透天厝",中國時報,"['臺中房仲', '透天厝', '社羣平臺', '照片模糊', '市場情緒']",臺中房仲於臉書社團發佈位於太平區的透天厝「超級急急急售」貼文，因照片模糊遭嘲笑，網友分歧意見對房市影響不大。,2023-04-10,無相關,此事件僅限於單一物件與單一社羣平臺對話，未涉及宏觀市場供需、政策或價值走向，故不會對整體房市價格或成交量產生可觀影響。
4,電價4月調漲 新北地政局：限期內合約房東不得喊漲,陳慰慈,"租賃契約已進入全面納管時代，新北地政局提醒，不論是個人房東或租賃業者所簽訂的租賃契約，皆應符合內政部頒定的「住宅租賃定型化契約應記載及不得記載事項」，且租期內「合約內容」不得任意更改，如有違反且經限期而不改正者，將處3到30萬元罰鍰，並得按次處罰。
舉例來說，台電雖已公布今年4月1日起電價調漲，但仍在期限內的合約，房東不得隨意調漲，且電費不得超過夏月、非夏月台電所定最高級距金額。另近來偶有租期糾紛，建議租賃期間務必載明期限，房客可避免房東突然不租，房東亦可避免租約變成不定期租約，以致難以收回房屋，對雙方都有保障。
新北市地政局發言人徐鳳儀提醒房東、房客於簽訂租賃契約時，要注意租金、租約期限、水電瓦斯等費用、修繕責任歸屬等事項都應訂定清楚，以及押金不得約定超過2個月租金的總額，屋況及屋內設備應逐一點交清楚並拍照留存，避免後續造成紛爭。此外，簽訂合約務必符合規範，且一旦訂定後不得任意更改，待租期結束後，才可透過重新訂約議定新約內容。
徐鳳儀補充，如租賃雙方有爭議發生，可向新北市政府地政局提出申訴或檢舉，或循消保系統提出消費爭議申訴。又為利租賃雙方訂立契約，內政部已公告「住宅租賃定型化契約應記載及不得記載事項」及「住宅租賃契約書範本」供各界參考使用，消費者於簽約前可至內政部不動產資訊平台／法規與知識／契約書範本（https:／／pip.moi.gov.tw／V3／G／SCRG0302.aspx）查詢確認合約內容是否符合規定，以保障權益。
《租賃住宅市場發展及管理條例》於今年2月8日修正公布，明定租賃契約出租人及承租人間具消費關係，適用《消費者保護法》相關規定。
",https://house.chinatimes.com/20230410002701-264401,"新北市,地政局,房東,電價,租賃",中國時報,"['租賃契約納管', '合約內容限制', '押金上限', '電費最高級距', '消費者保護法']",新北市加強租賃契約納管，強調合約內容不得擅改、押金上限、電費限制，並提供標準範本與申訴管道，促租賃市場透明化、消費者權益保障。,2023-04-10,無相關,本新聞聚焦於租賃合約規範與權益保障，並未直接影響住宅買賣供需或價格走勢；因此對整體地產價格走勢影響有限，可視為無相關。
5,《道德經》的啟發！他曾負債千萬 如今蛻變為年度業績冠軍,綜合報導,"獲登美國雜誌《Entrepreneur》成長最快速連鎖品牌500強的21世紀不動產，同時是全球最大房仲品牌，旗下經紀人楊丁樫出類拔萃，榮獲年度業績銷售冠軍，同時獲得GrandCenturion國際獎項殊榮，成為眾人羨煞的代表人物，但楊丁樫表示，自己過去曾負債1000萬，遭遇諸多挫折，桀驁不遜的態度吃了大虧，因緣際會下拜讀老子《道德經》而有所感悟，選擇成為房仲經紀人挑戰不一樣的人生，並以自律和真誠的心態引以為戒，認為成功的運氣可以修德而來，同時要保持善良的本質，並強調「一切都是最好的安排，失去就是獲得。」
楊丁樫從業10年來獲獎無數，本次獲得GrandCenturion獎項的國際級殊榮，是21世紀不動產國際級獎項的至高榮譽，同時也成為21世紀不動產台灣區的年度業績冠軍，在業界備受矚目。他坦言，過去一度身敗名裂，因想要不勞而獲，狂妄自大又驕傲不羈，甚至負債1000萬，落得一敗塗地的下場。回想當初加入21世紀不動產時身無分文，機車甚至還在當鋪裡，為了趕緊還清債務，晚上還曾想過兼職禮儀師的工作。
他說，最後選擇專職21世紀不動產擔任房仲業務有2個原因，第一是21世紀不動產的環境、體系與市占率、口碑都不錯；第二是擔任業務不需要投注本金和經濟成本，讓他堅信只要足夠努力就能翻身。豈料隔行如隔山，一開始使用過去經驗卻經常碰壁，但老闆與前輩都願意教導，加上公司有完整的教育訓練制度，像是新人有濃縮自21全球房地產菁英心法的課程---Create21能夠學習，能夠加快進入房仲這個產業的狀況，過程中咬牙努力，考取證照，最後成為出類拔萃的經紀人。
「我一天工作12、14小時，公司尚未開門便抵達，忙到晚上9點，從開發、廣告、拜訪客戶都一手包辦，假日也沒有休息。」楊丁樫分享，自己唯一的休閒娛樂是爬山和運動，並保持心中信念。
改變楊丁樫的關鍵是《道德經》。他表示，每每重看一次都會有不同的體悟，也洞察出自己的缺點，體悟到『業務的成就不是賺了多少錢，而是幫助了多少人。』並將此句話作為自身的座右銘，時刻提醒自己，並身體力行實踐。平時會定期捐書及捐贈物資給育幼院、公益團體、遊民等等，盡自己的一點心力來回饋社會。
在成功的路上，楊丁樫特別感謝自己的母親，讓他意識到自己有能力去幫助別人，生活中的小善行都有可能結為善緣，楊丁樫舉例「善的循環」，他曾經看到路旁有人汽車沒油，就停下幫忙推去加油站，最後他向對方索取電話便暫時別過，沒想到過了一陣子，當時受幫助的人主動聯絡楊丁樫，輾轉介紹了很多的案子，這是他沒想過也不曾奢求的。
「我想當你真心付出，不求回報，這些善的力量，會以不同的形式回到自己身上。這也許就是善的循環。」楊丁樫認同人與人之間互助的能量，以此為信念，最終成為21世紀不動產年度業績銷售冠軍。
",https://house.chinatimes.com/20230410002667-264401,"21世紀不動產, 楊丁樫,道德經,上善若水,年度業績冠軍",中國時報,"['楊丁樫', '21世紀不動產', 'GrandCenturion', '道德經', '社會回饋']",楊丁樫作為21世紀不動產業績冠軍，經歷負債、重拾信念並以《道德經》引領自律與公益，最終取得GrandCenturion國際獎項，展現個人轉型與社會回饋。,2023-04-10,無相關,文章聚焦於個人職業成就與身心轉變，並未提及宏觀市場走勢、價格波動或政策變化，故無法直接影響房地產市場或價格走勢，因此判定為無相關。
6,門後掛勾竟是風水禁忌 命理師曝下場：恐招小人,賈恩祺,"現代許多人都會在門後安裝掛勾，不但可以增加額外的收納空間，也能在出門的時候減少遺漏物品的機會，不過民俗專家柯柏成提醒，這其實是常見的居家風水錯誤，若是在大門後設置掛勾，可能導致家運不順，賺錢的人會非常辛苦，還容易犯小人，若掛在房門後，則可能經常做出事倍功半的事情。
柯柏成在臉書粉專指出，「門後掛勾」是現代人習以為常的居家風水錯誤，不少人認為這樣非常方便，不容易遺落物品，但是以風水的角度而言，如果掛勾設置在大門後，因為大門是出入納氣的地方，釘上勾子或掛上勾子，都會使屋主芒刺在背，不但外出賺錢的人會加倍辛苦，還容易犯小人，導致身上的包袱沉重；如果掛勾設置在房間門後，則可能經常做出事倍功半的事情。
而且以科學的角度來看，門後掛了太多東西，會造成開關門不便，或是讓門軸承受過多的重量而歪斜。因此柯柏成提醒，衣帽應該回歸到衣櫃裡，任何物品都不宜出現在大門或房門的背後，一個簡單的風水小常識，就可以讓家運更輕鬆，也能降低犯小人的機會。
★《中時新聞網》提醒您：民俗信仰僅供參考，請勿過度迷信！
",https://house.chinatimes.com/20230410000008-264401,"掛勾,門後,風水,禁忌,柯柏成",中國時報,"['風水', '門後掛勾', '大門', '小人', '居家風水']",民俗專家柯柏成指出在大門或房門後掛勾是風水錯誤，會導致家運不順及小人犯事。,2023-04-10,無相關,該篇新聞主要針對民俗風水觀念，並未涉及任何經濟指標、政策變動或市場供需情況，對房地產市場的價格波動並無直接影響，故預期走向為無相關。
7,私人土地出租遭埋廢棄建材 一開挖量大到傻眼,蔡旻妤,"台東市區1處私人水利用地經地主去年承租給營造業者，業者卻疑偷埋大量廢棄建材，今天遭檢舉，地主擔心後續無法耕作，請業者開挖還地，不料挖到逾10公噸廢建材。環保局及保七總隊到場蒐證後，環保局表示，業者恐面臨刑責及高額罰金。
環保局表示，目前已挖出逾10公噸的營建廢棄物，現仍持續挖出，廢棄物中多為水泥磚塊、太空包、木製建材等，因水利用地是環境敏感地區，不可棄置廢棄物，依廢棄物清理法最高裁罰處1年以上5年以下有期徒刑，得併科1500萬元以下罰金。
這處私人水利用地位於市區太平溪旁，陽姓地主2021年租借給1家營造業者，未料，近期附近居民向地主反映該土地常有貨車及怪手進出，一開始地主認為業者放機具材料是很正常，但隨著租約將到期，加上被鄰居投訴，才發現有問題，要求業者開挖還地。
議員林參天表示，接獲當地里長吳秋蘭告知，營建業者以為把廢棄物清出還地就沒事了，這樣土地被違法糟蹋，所以他要求環保局到場蒐證，一開挖就真相大白了。
營建業者解釋，當初會埋這些水泥磚塊，主要是用來填平土地低漥處，因為遇到下雨就會積水，不僅影響堆放的建材，機具進出也易陷入泥濘中。至於埋設的廢棄建材，現在會配合環保局及保七總隊的調查。
",https://house.chinatimes.com/20230410000007-264401,"環保局,業者,建材,廢棄,營造業",中國時報,"['水利用地', '廢棄建材', '環保局', '刑責', '地價']",臺東私人水利用地發現逾10噸廢棄物，環保局警告刑責與罰金，可能導致地價下跌。,2023-04-10,下跌,廢棄物被發現並面臨高額罰金及刑事責任，將降低土地使用價值與投資吸引力，預期影響市場價值下降。
8,林口人口紅利上升16％  「森聯上上謙-森越」布局小家庭3房吸睛,綜合報導,"林口地區以棋盤式道路規劃，綠覆率60%優勢，更享清幽空氣品質。根據新北市政府民政局資料，林口人口數年年提升，可見產業園區活化當地人口紅利，「森聯上上謙-森越」位於49米民權路上，看準地段居住需求上升，主推3房3面採光(39坪)，縝密布局明星學區，吸引當地小家庭定居目光，總價CP值高，也深受置產客青睞。
根據新北市政府民政局資料，林口區近5年人口增加19,678人，5年內人口成長率高達16%，除了產業園區年產值560億作為焦點外，艾司摩爾預計提供2萬工作機會；東森亦提供1萬就業紅利。
「森聯上上謙-森越」主推3房3面採光(39坪)，使用5+5膠合玻璃，抵抗50%分貝噪音；同時採用波蘭potax房埋紗窗，實現空氣品質好安心；牆面選自石膏磚牆，在防火、隔音、耐潮上面面俱到，讓住戶在高規格居住品質中安全無虞。
「森聯上上謙-森越」分為A、B兩棟，前者1層8戶配3電梯，共24層樓高；後者1層6戶配1個電梯，7樓層高。總計212戶住家，1樓設有14戶店面，未來生活採買十分方便。
「森聯上上謙-森越」享明星學區一條龍，讓孩子從福祿貝爾幼稚園、鄰頭湖雙語國小、美國學校和林口國中等環境成長，搶先贏在起跑線，再接力民權路上英語補習班，培養語言實力。
林口中段別於A9前段辦公出租地的紛擾，屬於生活機能優渥的好選擇，離塵不離城的地段滿足生活採買，5-6分鐘到達家樂福，銜接交流道也只需10分鐘以內。
「森聯上上謙-森越」擁有豐富公設，大廳挑高6米規模浩繁，主要公設布局2樓，挑高4米8，健身房、瑜珈教室、撞球室、視聽室、VR室、兒童遊戲室、吧台區、媽媽廚房教室與游泳池，琳瑯滿目的福利設施滿足住戶所有休憩娛樂。
森聯機構擁有40年營運資歷，實現18000戶築巢圓夢，同時也承攬建設、營造一條龍，解決缺料缺工問題，「森聯上上謙-森越」於2023年2月開案，預計於2026第四季度完工。
",https://house.chinatimes.com/20230410000009-264401,"林口, 人口紅利, 綠覆率, 森聯上上謙, 森越",中國時報,"['林口', '森聯上上謙-森越', '人口成長', '產業園區', '公設']",林口因人口持續增加、產業園區帶動就業，且「森聯上上謙-森越」於明星學區旁、設施齊全，CP值優越，預期房價將上升。,2023-04-10,上漲,林口區人口成長率高達16%，產業園區年產值560億並創造大量工作機會，配合優質教育資源與全方位公共設施，將持續吸引小家庭與投資者，推動房產需求與成交量上升，進而促使房價攀升。
9,貸款利息非屬房地交易所得的成本費用,MyGoNews買購房地產新聞,"財政部北區國稅局表示，自用住宅購屋借款利息可於綜合所得稅結算申報時，列報列舉扣除額，加計其他列舉扣除項目金額，與標準扣除額比較，從高擇一自所得總額中予以減除；然而，個人房地合一稅交易所得，係以售價減除實際購入成交價格及支付之費用，核算個人房屋土地交易所得，納稅義務人因房屋持有期間繳納的房貸利息，不得列為成本費用扣除。
該局說明，依房地合一課徵所得稅申報作業要點第13點及第15點規定，取得成本是指購入時的成交價額，以及購入房屋達可使用狀態前的必要費用，包括契稅、印花稅、代書費、公證費、裝潢修繕費用等，但取得房屋所有權後，繳納的房屋稅、地價稅、管理費、清潔費、金融機構借款利息等，均屬使用期間的相對代價，不得列為費用減除。
該局舉例說明，甲君於2022年8月出售於2017年8月買賣登記取得之房屋及土地，該房地於購入時作為抵押物向銀行申辦貸款，甲君於房屋出售前已繳納的貸款利息27.3萬元，在申報個人房地合一所得稅時，將該貸款利息列報為成本費用，自所得中減除。經該局查核該貸款利息的貸款期間自2017年8月起至2022年8月止，係甲君登記取得房地所有權後發生而支付的購屋借款利息，屬房屋使用期間的相對代價，不得列為費用減除，經該局剔除補稅。
該局進一步指出，在房屋持有期間，如因增置、修繕或改良的支出，可增加房屋價值或效能達2年以上者，則可以列為出售房地的成本，自房地售價中予以減除。如仍有不明瞭之處，歡迎至該局網站查詢相關法令或利用免費服務電話0800-000321洽詢。
",https://house.chinatimes.com/20230406004333-264401,"財政部,國稅局,自用住宅,購屋借款利息",中國時報,"['房地合一稅', '借款利息', '成本費用', '稅務指引', '房屋買賣']",財政部北區國稅局針對自用住宅借款利息與房地合一稅規定說明，指出持有期間繳納利息不可列為成本費用，影響個人房地合一所得稅計算。,2023-04-06,無相關,此規定主要為稅務處理方式，僅調整個人房地合一所得稅計算，對房價、租金及交易流動性等實質指標影響有限，無明顯推升或下壓市場走向的力道。
